"cluster_name","location","total_to_date","new_cases_24hrs","recovered_to_date","origin","transmission_ongoing","status"
"Marist College","Auckland",92,-1,NA,"Unknown",NA,NA
"Wedding","Bluff",89,3,NA,"Overseas exposure",NA,NA
"Hospitality venue","Matamata",72,1,NA,"Overseas exposure",NA,NA
"Private function","Auckland",38,3,NA,"Unknown",NA,NA
"Aged residential care facility (1)","Christchurch",35,1,NA,"Unknown",NA,NA
"World Hereford Conference","Queenstown",33,0,NA,"Overseas exposure",NA,NA
"Community","Auckland",30,1,NA,"Unknown",NA,NA
"Ruby Princess cruise ship","Hawke’s Bay",19,1,NA,"Overseas exposure",NA,NA
"Aged residential care facility (2)","Christchurch",19,3,NA,"Unknown",NA,NA
"Group travel to US","Wellington",16,0,NA,"Overseas exposure",NA,NA
"Group travel to US","Auckland",15,0,NA,"Overseas exposure",NA,NA
"Aged residential care facility (1)","Auckland",15,0,NA,"Unknown",NA,NA
"Aged residential care facility","Waikato",14,0,NA,"Overseas exposure",NA,NA
"Wedding","Wellington",13,0,NA,"Overseas exposure",NA,NA
"Community","Christchurch",10,0,NA,"Overseas exposure",NA,NA
"Aged residential care facility (2)","Auckland",10,5,NA,"Overseas exposure",NA,NA
