"cluster_name","location","total_to_date","new_cases_24hrs","recovered_to_date","origin","transmission_ongoing","status"
"Wedding","Bluff",98,0,76,"Overseas exposure","Yes",NA
"Marist College","Auckland",94,0,85,"Unknown","Yes",NA
"Hospitality Venue","Matamata",76,0,60,"Overseas exposure","Yes",NA
"Aged residential care facility (1)","Christchurch",54,0,18,"Unknown","Yes",NA
"Private Function","Auckland",39,0,38,"Unknown","Yes",NA
"World Hereford Conference","Queenstown",38,0,37,"Overseas exposure","Yes",NA
"Aged residential care facility (1)","Auckland",34,0,13,"Unknown","Yes",NA
"Community","Auckland",30,0,21,"Unknown","Yes",NA
"Ruby Princess Cruise Ship Cluster","Hawke’s Bay",23,0,14,"Overseas exposure","Yes",NA
"Aged residential care facility (2)","Christchurch",20,0,17,"Unknown","Yes",NA
"Group travel to US","Wellington",16,0,15,"Overseas exposure","Yes",NA
"Group travel to US","Auckland",16,0,14,"Overseas exposure","Yes",NA
"Aged residential care facility","Waikato",15,0,10,"Overseas exposure","Yes",NA
"Aged residential care facility (2)","Auckland",13,0,7,"Overseas exposure","Yes",NA
"Wedding","Wellington",13,0,11,"Overseas exposure","Closed",NA
"Workplace","Christchurch",10,0,10,"Overseas exposure","Yes",NA
