"cluster_name","location","total_to_date","new_cases_24hrs","recovered_to_date","origin","transmission_ongoing","status"
"Wedding","Bluff",98,2,61,"Overseas exposure",NA,NA
"Marist College","Auckland",93,0,82,"Unknown",NA,NA
"Hospitality Venue","Matamata",76,0,41,"Overseas exposure",NA,NA
"Aged residential care facility (1)","Christchurch",45,2,7,"Unknown",NA,NA
"World Hereford Conference","Queenstown",39,0,37,"Overseas exposure",NA,NA
"Private Function","Auckland",38,0,33,"Unknown",NA,NA
"Community","Auckland",30,0,7,"Unknown",NA,NA
"Aged residential care facility (1)","Auckland",25,0,5,"Unknown",NA,NA
"Ruby Princess Cruise Ship","Hawke’s Bay",22,0,9,"Overseas exposure",NA,NA
"Aged residential care facility (2)","Christchurch",20,0,9,"Unknown",NA,NA
"Group travel to US","Wellington",16,0,12,"Overseas exposure",NA,NA
"Group travel to US","Auckland",16,0,11,"Overseas exposure",NA,NA
"Aged residential care facility","Waikato",14,0,11,"Overseas exposure",NA,NA
"Aged residential care facility (2)","Auckland",14,0,4,"Overseas exposure",NA,NA
"Wedding","Wellington",13,0,11,"Overseas exposure",NA,NA
"Workplace","Christchurch",10,0,9,"Overseas exposure",NA,NA
