"cluster_name","location","total_to_date","new_cases_24hrs","recovered_to_date","origin","transmission_ongoing","status"
"Wedding","Bluff",98,0,75,"Overseas exposure",NA,NA
"Marist College","Auckland",94,0,85,"Unknown",NA,NA
"Hospitality Venue","Matamata",76,0,58,"Overseas exposure",NA,NA
"Aged residential care facility (1)","Christchurch",54,0,16,"Unknown",NA,NA
"Private Function","Auckland",39,0,38,"Unkown",NA,NA
"World Hereford Conference","Queenstown",38,0,37,"Overseas exposure",NA,NA
"Aged residential care facility (1)","Auckland",34,0,12,"Unknown",NA,NA
"Community","Auckland",30,0,21,"Unknown",NA,NA
"Ruby Princess Cruise Ship","Hawke’s Bay",23,0,14,"Overseas exposure",NA,NA
"Aged residential care facility (2)","Christchurch",20,0,17,"Unknown",NA,NA
"Group travel to US","Wellington",16,0,15,"Overseas exposure",NA,NA
"Group travel to US","Auckland",16,0,14,"Overseas exposure",NA,NA
"Aged residential care facility","Waikato",15,0,11,"Overseas exposure",NA,NA
"Aged residential care facility (2)","Auckland",13,0,6,"Overseas exposure",NA,NA
"Wedding","Wellington",13,0,11,"Overseas exposure",NA,NA
"Workplace","Christchurch",10,0,10,"Overseas exposure",NA,NA
