"cluster_name","location","total_to_date","new_cases_24hrs","recovered_to_date","origin","transmission_ongoing","status"
"Wedding","Bluff",98,0,85,"Overseas exposure","Yes",NA
"Marist College","Auckland",95,0,86,"Unknown","Yes",NA
"Hospitality Venue","Matamata",77,1,68,"Overseas exposure","Yes",NA
"Aged residential care facility (1)","Christchurch",55,0,32,"Unknown","Yes",NA
"Aged residential care facility (1)","Auckland",44,0,24,"Unknown","Yes",NA
"Private Function","Auckland",39,0,39,"Unknown","Yes",NA
"World Hereford Conference","Queenstown",38,0,37,"Overseas exposure","Yes",NA
"Community","Auckland",30,0,23,"Unknown","Yes",NA
"Ruby Princess Cruise Ship Cluster","Hawke’s Bay",24,0,16,"Overseas exposure","Yes",NA
"Aged residential care facility (2)","Christchurch",20,0,19,"Unknown","Yes",NA
"Group travel to US","Wellington",16,0,16,"Overseas exposure","Closed",NA
"Group travel to US","Auckland",16,0,14,"Overseas exposure","Closed",NA
"Aged residential care facility","Waikato",15,0,11,"Overseas exposure","Yes",NA
"Aged residential care facility (2)","Auckland",13,0,9,"Overseas exposure","Yes",NA
"Wedding","Wellington",13,0,13,"Overseas exposure","Closed",NA
"Workplace","Christchurch",10,0,10,"Overseas exposure","Yes",NA
