"cluster_name","location","total_to_date","new_cases_24hrs","recovered_to_date","origin","transmission_ongoing","status"
"School","Auckland","84.0","7.0",NA,NA,NA,NA
"Event","Southland","81.0","8.0",NA,NA,NA,NA
"Workplace","Waikato","62.0","3.0",NA,NA,NA,NA
"Event","Queenstown","33.0","-2.0",NA,NA,NA,NA
"Workplace","Auckland","25.0","4.0",NA,NA,NA,NA
"Event","Auckland","20.0","1.0",NA,NA,NA,NA
"Rest home","Christchurch","20.0","5.0",NA,NA,NA,NA
"Group travel to US","Wellington","19.0","1.0",NA,NA,NA,NA
"Cruise ship","Hawke's Bay","16.0","0.0",NA,NA,NA,NA
"Group travel overseas","Auckland","15.0","0.0",NA,NA,NA,NA
"Rest home","Waikato","13.0","-1.0",NA,NA,NA,NA
"Event","Wellington","13.0","0.0",NA,NA,NA,NA
