"cluster_name","location","total_to_date","new_cases_24hrs","recovered_to_date","origin","transmission_ongoing","status"
"Wedding","Bluff",98,0,68,"Overseas exposure",NA,NA
"Marist College","Auckland",93,0,83,"Unknown",NA,NA
"Hospitality Venue","Matamata",76,0,53,"Overseas exposure",NA,NA
"Aged residential care facility (1)","Christchurch",54,2,15,"Unknown",NA,NA
"World Hereford Conference","Queenstown",40,0,39,"Overseas exposure",NA,NA
"Private Function","Auckland",39,0,35,"Unknown",NA,NA
"Community","Auckland",30,0,14,"Unknown",NA,NA
"Aged residential care facility (1)","Auckland",31,2,8,"Unknown",NA,NA
"Ruby Princess Cruise Ship Cluster","Hawke’s Bay",22,0,11,"Overseas exposure",NA,NA
"Aged residential care facility (2)","Christchurch",20,0,12,"Unknown",NA,NA
"Group travel to US","Wellington",16,0,13,"Overseas exposure",NA,NA
"Group travel to US","Auckland",16,0,14,"Overseas exposure",NA,NA
"Aged residential care facility","Waikato",15,0,11,"Overseas exposure",NA,NA
"Aged residential care facility (2)","Auckland",13,0,5,"Overseas exposure",NA,NA
"Wedding","Wellington",13,0,11,"Overseas exposure",NA,NA
"Workplace","Christchurch",10,0,9,"Overseas exposure",NA,NA
