"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"Sex","sex","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"Age group","age group","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"DHB","dhb","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"International travel","international travel","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"Last country before return","last country before return","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"Flight number","flight number","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"Flight departure date","flight departure date","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"Arrival date","arrival date","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"caseType","casetype","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"datasource","datasource","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"releaseDate","releasedate","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Confirmed",3,2020-04-11
"Date of report","date of report","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
"Sex","sex","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
"Age group","age group","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
"DHB","dhb","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
"International travel","international travel","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
"Last country before return","last country before return","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
"Flight number","flight number","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
"Flight departure date","flight departure date","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
"Arrival date","arrival date","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
"caseType","casetype","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
"datasource","datasource","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
"releaseDate","releasedate","data/moh/caselists/raw/case-list-11-april-2020-for-web.xlsx","Probable",3,2020-04-11
