"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"Sex","sex","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"Age group","age group","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"DHB","dhb","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"International travel","international travel","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"Last country before return","last country before return","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"Flight number","flight number","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"Flight departure date","flight departure date","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"Arrival date","arrival date","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"caseType","casetype","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"datasource","datasource","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"releaseDate","releasedate","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Confirmed",3,2020-04-15
"Date of report","date of report","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
"Sex","sex","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
"Age group","age group","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
"DHB","dhb","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
"International travel","international travel","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
"Last country before return","last country before return","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
"Flight number","flight number","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
"Flight departure date","flight departure date","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
"Arrival date","arrival date","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
"caseType","casetype","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
"datasource","datasource","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
"releaseDate","releasedate","data/moh/caselists/raw/covidcase_list_15_april_2020.xlsx","Probable",3,2020-04-15
