"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"Sex","sex","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"Age group","age group","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"International travel","international travel","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Confirmed",3,2020-04-09
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
"Sex","sex","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
"Age group","age group","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
"International travel","international travel","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-9april2020.xlsx","Probable",3,2020-04-09
