"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"Sex","sex","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"Age group","age group","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"DHB","dhb","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"International travel","international travel","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"Flight number","flight number","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"caseType","casetype","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"datasource","datasource","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Confirmed",3,2020-04-07
"Date of report","date of report","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
"Sex","sex","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
"Age group","age group","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
"DHB","dhb","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
"International travel","international travel","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
"Flight number","flight number","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
"caseType","casetype","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
"datasource","datasource","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedeatails-7april2020.xlsx","Probable",3,2020-04-07
