"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"Sex","sex","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"Age group","age group","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"DHB","dhb","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"International travel","international travel","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"Last country before return","last country before return","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"Arrival date","arrival date","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"Flight number","flight number","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"caseType","casetype","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"datasource","datasource","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"releaseDate","releasedate","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Confirmed",3,2020-04-02
"Date of report","date of report","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
"Sex","sex","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
"Age group","age group","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
"DHB","dhb","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
"International travel","international travel","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
"Last country before return","last country before return","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
"Arrival date","arrival date","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
"Flight number","flight number","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
"caseType","casetype","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
"datasource","datasource","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
"releaseDate","releasedate","data/moh/caselists/raw/covid-19_case_list_2_april_2020.xlsx","Probable",3,2020-04-02
