"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"Sex","sex","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"Age group","age group","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"Overseas travel","international travel","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Confirmed",3,2020-04-26
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
"Sex","sex","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
"Age group","age group","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
"Overseas travel","international travel","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-april2620202.xlsx","Probable",3,2020-04-26
