"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"Sex","sex","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"Age group","age group","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"Overseas travel","international travel","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Confirmed",3,2020-04-21
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
"Sex","sex","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
"Age group","age group","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
"Overseas travel","international travel","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-21april_0.xlsx","Probable",3,2020-04-21
