"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"Sex","sex","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"Age group","age group","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"International travel","international travel","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Confirmed",3,2020-04-06
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
"Sex","sex","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
"Age group","age group","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
"International travel","international travel","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-update-6april.xlsx","Probable",3,2020-04-06
