"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"Sex","sex","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"Age group","age group","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"DHB","dhb","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"International travel","international travel","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"Last country before return","last country before return","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"Flight number","flight number","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"Arrival date","arrival date","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"caseType","casetype","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"datasource","datasource","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"releaseDate","releasedate","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Confirmed",3,2020-04-13
"Date of report","date of report","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
"Sex","sex","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
"Age group","age group","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
"DHB","dhb","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
"International travel","international travel","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
"Last country before return","last country before return","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
"Flight number","flight number","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
"Arrival date","arrival date","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
"caseType","casetype","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
"datasource","datasource","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
"releaseDate","releasedate","data/moh/caselists/raw/covid-case-list-13april2020.xlsx","Probable",3,2020-04-13
