"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"Sex","sex","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"Age group","age group","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"DHB","dhb","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"International travel","international travel","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"Last country before return","last country before return","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"Flight number","flight number","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"Flight departure date","flight departure date","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"Arrival date","arrival date","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"caseType","casetype","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"datasource","datasource","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"releaseDate","releasedate","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Confirmed",3,2020-04-12
"Date of report","date of report","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
"Sex","sex","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
"Age group","age group","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
"DHB","dhb","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
"International travel","international travel","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
"Last country before return","last country before return","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
"Flight number","flight number","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
"Flight departure date","flight departure date","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
"Arrival date","arrival date","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
"caseType","casetype","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
"datasource","datasource","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
"releaseDate","releasedate","data/moh/caselists/raw/case-list-12-april-2020-for-web.xlsx","Probable",3,2020-04-12
