"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"Sex","sex","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"Age group","age group","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"International travel","international travel","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Confirmed",3,2020-04-10
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
"Sex","sex","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
"Age group","age group","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
"International travel","international travel","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-10april2020.xlsx","Probable",3,2020-04-10
