"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"Sex","sex","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"Age group","age group","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"DHB","dhb","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"International travel","international travel","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"Last country before return","last country before return","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"Flight number","flight number","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"Flight departure date","flight departure date","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"Arrival date","arrival date","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"caseType","casetype","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"datasource","datasource","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"releaseDate","releasedate","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Confirmed",3,2020-04-01
"Date of report","date of report","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
"Sex","sex","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
"Age group","age group","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
"DHB","dhb","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
"International travel","international travel","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
"Last country before return","last country before return","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
"Flight number","flight number","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
"Flight departure date","flight departure date","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
"Arrival date","arrival date","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
"caseType","casetype","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
"datasource","datasource","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
"releaseDate","releasedate","data/moh/caselists/raw/covidcase_list_1_apr_2020.xlsx","Probable",3,2020-04-01
