"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"Sex","sex","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"Age group","age group","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"DHB","dhb","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"Overseas travel","international travel","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"Last country before return","last country before return","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"Flight number","flight number","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"Arrival date","arrival date","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"caseType","casetype","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"datasource","datasource","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"releaseDate","releasedate","data/moh/caselists/raw/covid-caselist-23april.xlsx","Confirmed",3,2020-04-23
"Date of report","date of report","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
"Sex","sex","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
"Age group","age group","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
"DHB","dhb","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
"Overseas travel","international travel","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
"Last country before return","last country before return","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
"Flight number","flight number","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
"Arrival date","arrival date","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
"caseType","casetype","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
"datasource","datasource","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
"releaseDate","releasedate","data/moh/caselists/raw/covid-caselist-23april.xlsx","Probable",3,2020-04-23
