"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"Sex","sex","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"Age group","age group","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"DHB","dhb","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"Overseas travel","international travel","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"Last country before return","last country before return","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"Flight number","flight number","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"Arrival date","arrival date","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"caseType","casetype","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"datasource","datasource","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"releaseDate","releasedate","data/moh/caselists/raw/covid-caselist-20april.xlsx","Confirmed",3,2020-04-20
"Date of report","date of report","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
"Sex","sex","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
"Age group","age group","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
"DHB","dhb","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
"Overseas travel","international travel","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
"Last country before return","last country before return","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
"Flight number","flight number","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
"Arrival date","arrival date","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
"caseType","casetype","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
"datasource","datasource","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
"releaseDate","releasedate","data/moh/caselists/raw/covid-caselist-20april.xlsx","Probable",3,2020-04-20
