"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"Sex","sex","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"Age group","age group","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"DHB","dhb","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"Overseas travel","international travel","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"Last country before return","last country before return","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"Flight number","flight number","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"Arrival date","arrival date","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"caseType","casetype","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"datasource","datasource","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"releaseDate","releasedate","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Confirmed",3,2020-04-30
"Date of report","date of report","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
"Sex","sex","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
"Age group","age group","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
"DHB","dhb","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
"Overseas travel","international travel","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
"Last country before return","last country before return","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
"Flight number","flight number","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
"Arrival date","arrival date","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
"caseType","casetype","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
"datasource","datasource","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
"releaseDate","releasedate","data/moh/caselists/raw/covid-cases-30april2020.xlsx","Probable",3,2020-04-30
