"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"Sex","sex","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"Age group","age group","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"DHB","dhb","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"Overseas travel","international travel","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"Last country before return","last country before return","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"Flight number","flight number","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"Arrival date","arrival date","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"caseType","casetype","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"datasource","datasource","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"releaseDate","releasedate","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Confirmed",3,2020-05-03
"Date of report","date of report","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
"Sex","sex","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
"Age group","age group","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
"DHB","dhb","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
"Overseas travel","international travel","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
"Last country before return","last country before return","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
"Flight number","flight number","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
"Arrival date","arrival date","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
"caseType","casetype","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
"datasource","datasource","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
"releaseDate","releasedate","data/moh/caselists/raw/covid-cases-3may2020.xlsx","Probable",3,2020-05-03
