"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"Sex","sex","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"Age group","age group","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"DHB","dhb","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"Overseas travel","international travel","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"Last country before return","last country before return","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"Flight number","flight number","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"Arrival date","arrival date","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"caseType","casetype","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"datasource","datasource","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"releaseDate","releasedate","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Confirmed",3,2020-05-01
"Date of report","date of report","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
"Sex","sex","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
"Age group","age group","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
"DHB","dhb","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
"Overseas travel","international travel","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
"Last country before return","last country before return","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
"Flight number","flight number","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
"Arrival date","arrival date","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
"caseType","casetype","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
"datasource","datasource","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
"releaseDate","releasedate","data/moh/caselists/raw/covid-cases-1may2020_0.xlsx","Probable",3,2020-05-01
