"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"Sex","sex","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"Age group","age group","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"DHB","dhb","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"Overseas travel","international travel","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"Last country before return","last country before return","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"Flight number","flight number","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"Arrival date","arrival date","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"caseType","casetype","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"datasource","datasource","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"releaseDate","releasedate","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Confirmed",3,2020-04-29
"Date of report","date of report","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
"Sex","sex","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
"Age group","age group","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
"DHB","dhb","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
"Overseas travel","international travel","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
"Last country before return","last country before return","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
"Flight number","flight number","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
"Arrival date","arrival date","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
"caseType","casetype","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
"datasource","datasource","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
"releaseDate","releasedate","data/moh/caselists/raw/covid-cases-29april2020.xlsx","Probable",3,2020-04-29
