"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"Sex","sex","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"Age group","age group","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"Overseas travel","international travel","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Confirmed",3,2020-04-27
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
"Sex","sex","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
"Age group","age group","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
"Overseas travel","international travel","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-27april2020.xlsx","Probable",3,2020-04-27
