"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"Sex","sex","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"Age group","age group","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"DHB","dhb","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"Overseas travel","international travel","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"Flight number","flight number","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"caseType","casetype","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"datasource","datasource","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Confirmed",3,2020-04-19
"Date of report","date of report","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
"Sex","sex","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
"Age group","age group","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
"DHB","dhb","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
"Overseas travel","international travel","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
"Flight number","flight number","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
"caseType","casetype","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
"datasource","datasource","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedeatails-19april2020.xlsx","Probable",3,2020-04-19
