"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"Sex","sex","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"Age group","age group","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"DHB","dhb","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"International travel","international travel","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"Flight number","flight number","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"caseType","casetype","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"datasource","datasource","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Confirmed",3,2020-04-05
"Date of report","date of report","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
"Sex","sex","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
"Age group","age group","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
"DHB","dhb","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
"International travel","international travel","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
"Flight number","flight number","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
"caseType","casetype","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
"datasource","datasource","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetialsupdate-5april.xlsx","Probable",3,2020-04-05
