"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"Sex","sex","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"Age group","age group","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"International travel","international travel","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Confirmed",3,2020-04-08
"Date of report","date of report","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
"Sex","sex","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
"Age group","age group","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
"DHB","dhb","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
"International travel","international travel","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
"Last country before return","last country before return","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
"Flight number","flight number","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
"Arrival date","arrival date","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
"caseType","casetype","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
"datasource","datasource","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
"releaseDate","releasedate","data/moh/caselists/raw/covid-casedetails-8april2020.xlsx","Probable",3,2020-04-08
