"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"Sex","sex","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"Age group","age group","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"DHB","dhb","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"Overseas travel","international travel","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"Last country before return","last country before return","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"Flight number","flight number","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"Arrival date","arrival date","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"caseType","casetype","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"datasource","datasource","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"releaseDate","releasedate","data/moh/caselists/raw/covid-caselist-22april.xlsx","Confirmed",3,2020-04-22
"Date of report","date of report","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
"Sex","sex","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
"Age group","age group","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
"DHB","dhb","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
"Overseas travel","international travel","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
"Last country before return","last country before return","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
"Flight number","flight number","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
"Arrival date","arrival date","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
"caseType","casetype","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
"datasource","datasource","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
"releaseDate","releasedate","data/moh/caselists/raw/covid-caselist-22april.xlsx","Probable",3,2020-04-22
