"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date of report","date of report","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"Sex","sex","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"Age group","age group","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"DHB","dhb","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"Overseas travel","international travel","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"Last country before return","last country before return","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"Flight number","flight number","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"Flight departure date","flight departure date","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"Arrival date","arrival date","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"caseType","casetype","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"datasource","datasource","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"releaseDate","releasedate","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Confirmed",3,2020-04-18
"Date of report","date of report","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
"Sex","sex","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
"Age group","age group","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
"DHB","dhb","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
"Overseas travel","international travel","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
"Last country before return","last country before return","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
"Flight number","flight number","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
"Flight departure date","flight departure date","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
"Arrival date","arrival date","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
"caseType","casetype","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
"datasource","datasource","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
"releaseDate","releasedate","data/moh/caselists/raw/web-covid-confprob_20200418-2.xlsx","Probable",3,2020-04-18
